DATE,Block,Plot,Transect,Canopy,First Foliar,Second Foliar,Third Foliar,Basal
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,ALAL,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,SIAL,NF,NF,,S
2015,2,B2S,2,ELEL,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,SIAL,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,BRTE,NF,NF,,S
2015,2,B2S,2,HAGL,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,SIAL,BRTE,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,S
2015,2,B2S,2,NC,NF,NF,,DG
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,RATE,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,ELEL,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,LEPI,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,W
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,ELEL,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,LEPI,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,RATE,NF,NF,,S
2015,2,B2S,3,BRTE,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,DEPI,NF,NF,,S
2015,2,B2S,3,DEPI,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,DEPI,NF,NF,,S
2015,2,B2S,3,DEPI,ELEL,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,DEPI,ELEL,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,HAGL,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,3,NC,NF,NF,,S
2015,2,B2S,4,HAGL,NF,NF,,S
2015,2,B2S,4,NC,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,BRTE,NF,NF,,S
2015,2,B2S,4,HAGL,NF,NF,,S
2015,2,B2S,4,NC,NF,NF,,S
