DATE,Block,Plot,Transect,Canopy,First Foliar,Second Foliar,Third Foliar,Basal
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,ASNU
2015,2,BN,1,SCAR,,,,R
2015,2,BN,1,DEPI,SCAR,,,L
2015,2,BN,1,DEPI,BRRU,,,R
2015,2,BN,1,NC,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,NC,,,,S
2015,2,BN,1,NC,,,,L
2015,2,BN,1,BRRU,SCAR,,,S
2015,2,BN,1,ASNU,,,,R
2015,2,BN,1,NC,,,,S
2015,2,BN,1,NC,,,,R
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,NC,,,,S
2015,2,BN,1,NC,,,,S
2015,2,BN,1,NC,,,,S
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,L
2015,2,BN,1,SCAR,ASNU,,,S
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,DEPI,SCAR,,,S
2015,2,BN,1,SCAR,,,,L
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,ASNU,,,,S
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,SCAR,,,,R
2015,2,BN,1,NC,,,,S
2015,2,BN,1,SCAR,,,,R
2015,2,BN,1,SCAR,,,,S
2015,2,BN,1,NC,,,,R
2015,2,BN,1,BRRU,SCAR,DEPI,,R
2015,2,BN,1,NC,,,,BRRU
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,BRRU,,,,L
2015,2,BN,1,BRRU,,,,L
2015,2,BN,1,BRRU,,,,S
2015,2,BN,1,NC,,,,L
2015,1,UN,1,SCAR,,,,R
2015,1,UN,1,SCAR,,,,S
2015,1,UN,1,NC,,,,S
2015,1,UN,1,NC,,,,S
2015,1,UN,1,SCAR,,,,S
2015,1,UN,1,SCAR,,,,S
2015,1,UN,1,NC,,,,R
2015,1,UN,1,NC,,,,S
2015,1,UN,1,NC,,,,S
2015,1,UN,1,SCAR,,,,S
2015,1,UN,1,NC,,,,S
2015,1,UN,1,SCAR,,,,L
2015,1,UN,1,NC,,,,S
2015,1,UN,1,NC,,,,S
